"","year","roll_number","congress","session","chamber","bill","vote_question","vote_type","date","last_name","party","state","role","vote","majority","vote_result"
"party195",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Johnson, Sam","R","TX","legislator","Nay","D","Passed"
"party196",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Johnston","D","FL","legislator","Yea","D","Passed"
"party197",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Kanjorski","D","PA","legislator","Yea","D","Passed"
"party198",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Kaptur","D","OH","legislator","Yea","D","Passed"
"party199",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Kasich","R","OH","legislator","Yea","D","Passed"
"party200",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Kennedy (MA)","D","MA","legislator","Yea","D","Passed"
"party201",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Kennelly","D","CT","legislator","Yea","D","Passed"
"party202",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Kildee","D","MI","legislator","Yea","D","Passed"
"party203",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Kim","R","CA","legislator","Nay","D","Passed"
"party204",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"King","R","NY","legislator","Nay","D","Passed"
"party205",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Kingston","R","GA","legislator","Not Voting","D","Passed"
"party206",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Kleczka","D","WI","legislator","Yea","D","Passed"
"party207",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Klein","D","NJ","legislator","Yea","D","Passed"
"party208",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Klink","D","PA","legislator","Yea","D","Passed"
"party209",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Klug","R","WI","legislator","Nay","D","Passed"
"party210",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Knollenberg","R","MI","legislator","Nay","D","Passed"
"party211",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Kolbe","R","AZ","legislator","Nay","D","Passed"
"party212",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Kopetski","D","OR","legislator","Yea","D","Passed"
"party213",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Kreidler","D","WA","legislator","Yea","D","Passed"
"party214",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Kyl","R","AZ","legislator","Nay","D","Passed"
"party215",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"LaFalce","D","NY","legislator","Yea","D","Passed"
"party216",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Lambert","D","AR","legislator","Yea","D","Passed"
"party217",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Lancaster","D","NC","legislator","Yea","D","Passed"
"party218",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Lantos","D","CA","legislator","Not Voting","D","Passed"
"party219",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"LaRocco","D","ID","legislator","Yea","D","Passed"
"party220",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Laughlin","D","TX","legislator","Yea","D","Passed"
"party221",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Lazio","R","NY","legislator","Nay","D","Passed"
"party222",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Leach","R","IA","legislator","Nay","D","Passed"
"party223",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Lehman","D","CA","legislator","Yea","D","Passed"
"party224",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Levin","D","MI","legislator","Yea","D","Passed"
"party225",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Levy","R","NY","legislator","Nay","D","Passed"
"party226",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Lewis (CA)","R","CA","legislator","Nay","D","Passed"
"party227",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Lewis (FL)","R","FL","legislator","Nay","D","Passed"
"party228",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Lewis (GA)","D","GA","legislator","Yea","D","Passed"
"party229",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Lightfoot","R","IA","legislator","Nay","D","Passed"
"party230",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Linder","R","GA","legislator","Nay","D","Passed"
"party231",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Lipinski","D","IL","legislator","Yea","D","Passed"
"party232",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Livingston","R","LA","legislator","Nay","D","Passed"
"party233",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Lloyd","D","TN","legislator","Yea","D","Passed"
"party234",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Long","D","IN","legislator","Yea","D","Passed"
"party235",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Lowey","D","NY","legislator","Yea","D","Passed"
"party236",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Machtley","R","RI","legislator","Not Voting","D","Passed"
"party237",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Maloney","D","NY","legislator","Yea","D","Passed"
"party238",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Mann","D","OH","legislator","Yea","D","Passed"
"party239",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Manton","D","NY","legislator","Yea","D","Passed"
"party240",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Manzullo","R","IL","legislator","Nay","D","Passed"
"party241",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Margolies-Mezvinsky","D","PA","legislator","Yea","D","Passed"
"party242",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Markey","D","MA","legislator","Yea","D","Passed"
"party243",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Martinez","D","CA","legislator","Yea","D","Passed"
"party244",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Matsui","D","CA","legislator","Yea","D","Passed"
"party245",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Mazzoli","D","KY","legislator","Yea","D","Passed"
"party246",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"McCandless","R","CA","legislator","Nay","D","Passed"
"party247",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"McCloskey","D","IN","legislator","Yea","D","Passed"
"party248",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"McCollum","R","FL","legislator","Nay","D","Passed"
"party249",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"McCrery","R","LA","legislator","Yea","D","Passed"
